,precision,recall,f1-score,support
ACC,1.0,1.0,1.0,15.0
BLCA,0.9876543209876543,0.9876543209876543,0.9876543209876543,81.0
BRCA,1.0,1.0,1.0,214.0
CESC,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0
CHOL,0.7142857142857143,0.8333333333333334,0.7692307692307692,6.0
COAD,0.7976190476190477,0.9571428571428572,0.8701298701298702,70.0
DLBC,1.0,1.0,1.0,10.0
ESCA,0.8823529411764706,0.8823529411764706,0.8823529411764706,34.0
GBM,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
HNSC,0.9905660377358491,0.9905660377358491,0.9905660377358491,106.0
KICH,0.9375,0.9375,0.9375,16.0
KIRC,0.9887640449438202,0.9361702127659575,0.9617486338797814,94.0
KIRP,0.8979591836734694,1.0,0.9462365591397849,44.0
LAML,1.0,1.0,1.0,41.0
LGG,0.9902912621359223,0.9807692307692307,0.9855072463768114,104.0
LIHC,0.9873417721518988,0.9629629629629629,0.975,81.0
LUAD,0.9203539823008849,0.9811320754716981,0.949771689497717,106.0
LUSC,0.9900990099009901,0.9174311926605505,0.9523809523809524,109.0
MESO,0.9411764705882353,0.8,0.8648648648648648,20.0
OV,1.0,0.9846153846153847,0.9922480620155039,65.0
PAAD,0.9473684210526315,0.972972972972973,0.9599999999999999,37.0
PCPG,1.0,0.9714285714285714,0.9855072463768115,35.0
PRAD,1.0,1.0,1.0,97.0
READ,0.75,0.36,0.48648648648648657,25.0
SARC,0.9122807017543859,0.9629629629629629,0.9369369369369369,54.0
SKCM,1.0,1.0,1.0,20.0
STAD,0.95,0.95,0.9500000000000001,80.0
TGCT,1.0,1.0,1.0,31.0
THCA,1.0,1.0,1.0,91.0
THYM,1.0,1.0,1.0,24.0
UCEC,0.9032258064516129,0.9655172413793104,0.9333333333333333,29.0
UCS,0.75,0.8571428571428571,0.7999999999999999,7.0
UVM,1.0,1.0,1.0,22.0
accuracy,0.9639203015616586,0.9639203015616586,0.9639203015616586,0.9639203015616586
macro avg,0.9441539760126055,0.9427241711262431,0.9404757103699088,1857.0
weighted avg,0.9646468649474886,0.9639203015616586,0.9627064785168081,1857.0
